Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Gaziantep FK,Konyaspor,H,3-5-2,4-2-3-1,1,Zafer Görgen,Nazım Sangaré,Arda Kızıldağ,Nihad Mujakić,Deian Sorescu,Alexandru Maxim,Ogün Özçiçek,Drissa Camara,Yusuf Kabadayi,Denis Drăguş,Mohamed Bayo,Bahadır Han Güngördü,Jo Jin-ho,Uğurcan Yazğılı,Adil Demirbağ,Arif Boşluk,Morten Bjørlo,Berkan Kutlu,Deniz Türüç,Sander Svendsen,Jackson Muleka,Umut Nayir,7.5,6.9,6.7,6.5,7.6,7.5,6.7,6.8,6.1,6.1,6.3,6.6,6.5,7.1,6.7,6.4,6.7,7.2,7.8,6.4,6.7,7.0,1,1,1,15,10,283,15,15,0.42,2,11,4,412,20,16,0.58
Gaziantep FK,Konyaspor,H,3-5-2,4-2-3-1,1,Zafer Görgen,Nazım Sangaré,Arda Kızıldağ,Nihad Mujakić,Deian Sorescu,Alexandru Maxim,Ogün Özçiçek,Drissa Camara,Yusuf Kabadayi,Denis Drăguş,Mohamed Bayo,Bahadır Han Güngördü,Jo Jin-ho,Uğurcan Yazğılı,Adil Demirbağ,Arif Boşluk,Morten Bjørlo,Berkan Kutlu,Deniz Türüç,Sander Svendsen,Jackson Muleka,Umut Nayir,7.5,6.9,6.7,6.5,7.6,7.5,6.7,6.8,6.1,6.1,6.3,6.6,6.5,7.1,6.7,6.4,6.7,7.2,7.8,6.4,6.7,7.0,1,1,1,15,10,283,15,15,0.42,2,11,4,412,20,16,0.58
Gaziantep FK,Galatasaray,A,3-4-1-2,4-2-3-1,1,Zafer Görgen,Nazım Sangaré,Arda Kızıldağ,Nihad Mujakić,Luis Pérez,Melih Kabasakal,Ogün Özçiçek,Yusuf Kabadayi,Alexandru Maxim,Mohamed Bayo,Denis Drăguş,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Mario Lemina,İlkay Gündoğan,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,6.4,7.7,6.7,6.9,6.8,6.8,7.0,6.3,6.4,6.9,6.5,7.0,6.2,6.9,7.6,6.9,7.3,7.2,7.3,5.8,7.7,5.8,1,1,2,10,2,272,18,17,0.32,4,17,10,563,25,12,0.68
Gaziantep FK,Başakşehir FK,A,3-1-4-2,4-2-3-1,0,Zafer Görgen,Semih Güler,Myenty Abena,Arda Kızıldağ,Melih Kabasakal,Luis Pérez,Kacper Kozłowski,Drissa Camara,Kévin Rodrigues,Mohamed Bayo,Alexandru Maxim,Muhammed Şengezer,Onur Bulut,Léo Duarte,Jerome Opoku,Ömer Ali Şahiner,Onur Ergün,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,5.8,6.5,6.3,5.7,6.1,6.8,6.5,8.2,6.1,6.1,7.0,7.0,6.0,7.2,7.3,6.3,6.3,8.4,9.3,7.9,6.9,6.3,1,5,2,14,3,372,16,19,0.42,6,17,2,514,15,14,0.58
Gaziantep FK,Göztepe,H,4-3-3,3-4-1-2,0,Zafer Görgen,Luis Pérez,Semih Güler,Arda Kızıldağ,Kévin Rodrigues,Kacper Kozłowski,Ogün Özçiçek,Drissa Camara,Deian Sorescu,Mohamed Bayo,Emmanuel Boateng,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Junior Olaitan,Janderson,Juan Santos da Silva,6.4,6.3,6.9,6.4,6.4,6.7,6.4,7.0,6.6,5.7,6.4,8.3,7.1,7.9,7.3,7.1,6.9,6.9,7.1,6.7,7.1,6.7,0,1,3,19,8,331,15,13,0.58,2,15,6,246,20,12,0.42
Gaziantep FK,Beşiktaş JK,A,3-4-2-1,4-2-3-1,1,Zafer Görgen,Tayyip Talha Sanuç,Myenty Abena,Arda Kızıldağ,Luis Pérez,Ogün Özçiçek,Drissa Camara,Kévin Rodrigues,Kacper Kozłowski,Alexandru Maxim,Mohamed Bayo,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Orkun Kökçü,Cengiz Ünder,Václav Černý,Jota Silva,El Bilal Touré,8.3,6.8,6.3,6.0,6.7,6.9,6.6,6.2,7.4,7.0,9.2,6.1,6.3,6.5,7.1,6.3,6.6,7.5,6.6,7.1,6.4,7.6,2,2,2,9,1,323,15,21,0.42,6,29,10,426,27,13,0.58
Gaziantep FK,Eyüpspor,H,4-2-3-1,4-2-3-1,0,Zafer Görgen,Luis Pérez,Tayyip Talha Sanuç,Semih Güler,Kévin Rodrigues,Melih Kabasakal,Drissa Camara,Kacper Kozłowski,Alexandru Maxim,Christophe Lungoyi,Mohamed Bayo,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Nihad Mujakić,Taras Stepanenko,Kerem Demirbay,Denis Drăguş,Emre Akbaba,Mame Thiam,Umut Bozok,7.0,6.4,6.4,6.4,7.2,6.3,6.5,6.2,6.3,7.0,6.3,6.3,6.8,6.8,7.2,6.5,6.9,7.7,6.7,7.4,6.9,6.8,1,2,1,13,13,383,14,18,0.59,5,17,6,284,29,12,0.41
Gaziantep FK,Kayserispor,A,3-5-2,4-1-4-1,3,,,,,,,,,,,,,,,,,,,,,,,6.9,6.4,7.3,7.0,6.6,7.0,6.8,8.1,6.7,8.9,7.7,5.6,6.1,6.7,6.3,6.1,5.7,7.0,7.0,6.3,7.0,6.5,3,0,3,6,0,328,9,13,0.43,0,15,3,425,14,11,0.57
Gaziantep FK,Çaykur Rizespor,H,4-2-3-1,4-2-3-1,1,Zafer Görgen,Luis Pérez,Arda Kızıldağ,Myenty Abena,Kévin Rodrigues,Melih Kabasakal,Drissa Camara,Kacper Kozłowski,Alexandru Maxim,Christophe Lungoyi,Mohamed Bayo,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Giannis Papanikolaou,Muhamed Buljubašić,Jesurun Rak-Sakyi,Qazim Laci,Emrecan Bulut,Ali Sowe,6.6,5.6,6.7,6.5,7.1,6.7,7.1,6.4,7.0,6.2,7.5,7.8,6.6,6.3,6.5,6.0,6.3,6.6,6.9,6.4,5.7,7.9,2,2,7,15,3,481,13,14,0.6,1,11,2,328,15,14,0.4
Gaziantep FK,Alanyaspor,A,3-5-1-1,3-4-3,1,Zafer Görgen,Nazım Sangaré,Semih Güler,Arda Kızıldağ,Luis Pérez,Kacper Kozłowski,Melih Kabasakal,Drissa Camara,Yusuf Kabadayi,Alexandru Maxim,Mohamed Bayo,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Ruan,Gaius Makouta,Nicolas Janvier,Yusuf Özdemir,Ianis Hagi,Uchenna Ogundu,Ibrahim Kaya,7.8,7.1,7.6,6.9,7.7,6.8,7.2,7.2,7.0,7.3,5.9,7.2,7.2,6.8,7.5,6.8,6.9,7.5,6.5,7.1,6.2,6.5,0,0,2,13,4,406,22,10,0.46,2,8,4,485,16,13,0.54
